year,P,S,E
1990,0.479225,0.198742,0.386726
1990.1,0.459716,0.19697,0.375199
1990.2,0.440809,0.194552,0.361994
1990.3,0.423194,0.192864,0.349385
1990.4,0.407215,0.190496,0.339068
1990.5,0.391498,0.188212,0.328363
1990.6,0.376132,0.18535,0.318664
1990.7,0.361707,0.18268,0.309649
1990.8,0.348619,0.179996,0.299346
1990.9,0.336364,0.178576,0.290075
1991,0.324518,0.176437,0.279839
1991.1,0.312709,0.172378,0.270129
1991.2,0.301169,0.170224,0.260065
1991.3,0.2909,0.166968,0.251103
1991.4,0.280973,0.163499,0.242994
1991.5,0.271229,0.161043,0.233571
1991.6,0.261729,0.159007,0.228016
1991.7,0.252585,0.156682,0.220203
1991.8,0.24453,0.154131,0.213065
1991.9,0.235773,0.150732,0.20637
1992,0.229029,0.148231,0.197869
1992.1,0.222256,0.145102,0.191901
1992.2,0.214652,0.142669,0.187666
1992.3,0.208544,0.140145,0.182398
1992.4,0.202103,0.13697,0.176176
1992.5,0.195598,0.135092,0.169915
1992.6,0.189724,0.133014,0.164232
1992.7,0.183192,0.131106,0.158094
1992.8,0.176858,0.127811,0.154255
1992.9,0.171372,0.125325,0.148237
1993,0.166054,0.12315,0.143871
1993.1,0.161214,0.120559,0.139641
1993.2,0.156048,0.118039,0.135002
1993.3,0.151491,0.115875,0.132675
1993.4,0.146955,0.11362,0.130525
1993.5,0.14349,0.110905,0.124713
1993.6,0.139323,0.109005,0.12104
1993.7,0.134763,0.106177,0.117105
1993.8,0.130143,0.103829,0.111518
1993.9,0.126744,0.102068,0.107732
1994,0.122938,0.10078,0.104194
1994.1,0.119869,0.0987214,0.101577
1994.2,0.116476,0.0958181,0.097204
1994.3,0.112815,0.0944624,0.0926676
1994.4,0.109799,0.0916708,0.0900943
1994.5,0.106187,0.0903992,0.086551
1994.6,0.102543,0.088051,0.0847735
1994.7,0.100419,0.0864665,0.0825416
1994.8,0.0976733,0.0839526,0.080323
1994.9,0.0949729,0.0819859,0.0781173
1995,0.0922953,0.0806312,0.0741901
1995.1,0.0890429,0.0809647,0.072117
1995.2,0.0869139,0.0790898,0.0703786
1995.3,0.0842086,0.0778861,0.06728
1995.4,0.0815517,0.0761307,0.0644688
1995.5,0.0785703,0.074638,0.0608275
1995.6,0.0766877,0.073172,0.0569142
1995.7,0.0735622,0.071743,0.0535144
1995.8,0.0711008,0.0698489,0.0522854
1995.9,0.0695037,0.0690737,0.0504117
1996,0.0674338,0.0673665,0.0493071
1996.1,0.0652204,0.0654486,0.0486559
1996.2,0.0629411,0.0643862,0.0450639
1996.3,0.0611056,0.0629457,0.0448727
1996.4,0.0597065,0.062097,0.0446276
1996.5,0.0574175,0.0614709,0.042464
1996.6,0.0553448,0.0600854,0.0422693
1996.7,0.0540821,0.058392,0.0415179
1996.8,0.0527711,0.0555919,0.0400433
1996.9,0.0504444,0.0539081,0.0388106
1997,0.048838,0.0529041,0.0366429
1997.1,0.0469105,0.0510497,0.0342655
1997.2,0.0460649,0.0490144,0.0322963
1997.3,0.0447705,0.0483045,0.0304598
1997.4,0.0436716,0.0471368,0.0298614
1997.5,0.0431562,0.0455897,0.029359
1997.6,0.041381,0.044267,0.0294061
1997.7,0.0409501,0.0426262,0.0286026
1997.8,0.0399255,0.0409421,0.0294518
1997.9,0.0383854,0.0397772,0.0278701
1998,0.0376427,0.0390612,0.0258432
1998.1,0.0359465,0.0385755,0.0253056
1998.2,0.0349304,0.0383277,0.0239419
1998.3,0.0333461,0.0372285,0.0232579
1998.4,0.032609,0.0356952,0.021766
1998.5,0.030982,0.0352549,0.0222388
1998.6,0.0297181,0.0343255,0.0213606
1998.7,0.0286832,0.0333782,0.0219835
1998.8,0.0284333,0.0328332,0.0207449
1998.9,0.0284079,0.0329391,0.0204357
1999,0.0272155,0.0324801,0.0202868
1999.1,0.0260572,0.0313826,0.0194596
1999.2,0.0242743,0.0303907,0.0195268
1999.3,0.0232395,0.0297432,0.0188554
1999.4,0.0232138,0.0291865,0.0177484
1999.5,0.0221912,0.028567,0.0167375
1999.6,0.0225401,0.027885,0.0186965
1999.7,0.0216926,0.0269314,0.017851
1999.8,0.0206167,0.0263578,0.018953
1999.9,0.019702,0.0254069,0.0182171
2000,0.0198772,0.0253704,0.0170905
2000.1,0.0186403,0.025227,0.0159072
2000.2,0.0186318,0.0251745,0.0148313
2000.3,0.0183777,0.0241701,0.0130264
2000.4,0.0181455,0.0232684,0.0125726
2000.5,0.0173124,0.0227746,0.0112614
2000.6,0.0158234,0.0216957,0.0113995
2000.7,0.0168147,0.0212357,0.00988911
2000.8,0.0165401,0.0208452,0.0103601
2000.9,0.0162986,0.0203602,0.0115062
2001,0.0158902,0.0193606,0.0117359
2001.1,0.0147703,0.0195797,0.0121782
2001.2,0.0142746,0.0193101,0.0113713
2001.3,0.0142666,0.0194475,0.0131095
2001.4,0.0134113,0.018483,0.0107538
2001.5,0.0125276,0.0182538,0.0109319
2001.6,0.011884,0.0172843,0.0110977
2001.7,0.0110126,0.0172755,0.0104899
2001.8,0.0103901,0.0168645,0.0093466
2001.9,0.00995803,0.0151802,0.009566
2002,0.00893107,0.0147777,0.00548887
2002.1,0.00868691,0.0138677,0.00540826
2002.2,0.00811463,0.0135711,0.00632991
2002.3,0.00849066,0.0126405,0.0065592
2002.4,0.00743037,0.0119991,0.00550266
2002.5,0.00676995,0.01143,0.00646559
2002.6,0.0058565,0.0106205,0.00737018
2002.7,0.00620679,0.0107855,0.00770747
2002.8,0.00548139,0.0106113,0.00893963
2002.9,0.00488938,0.00999354,0.00865191
2003,0.0052806,0.00884629,0.0087124
2003.1,0.00544322,0.00816108,0.0077329
2003.2,0.00517226,0.00763125,0.00743729
2003.3,0.00475714,0.00774761,0.00697012
2003.4,0.00428607,0.00764451,0.0070225
2003.5,0.00321672,0.00763164,0.0078918
2003.6,0.00284081,0.00672938,0.00893037
2003.7,0.00267171,0.00655961,0.00856475
2003.8,0.00259676,0.00630397,0.00749469
2003.9,0.0032694,0.0054648,0.00914168
2004,0.0034311,0.00681112,0.00769035
2004.1,0.0031443,0.00633232,0.00861356
2004.2,0.00386452,0.00705356,0.0072601
2004.3,0.00399441,0.00665996,0.00523549
2004.4,0.00373308,0.00646454,0.00694297
2004.5,0.00412271,0.00670465,0.00689323
2004.6,0.0042614,0.00651306,0.00795346
2004.7,0.0047667,0.00656907,0.00748358
2004.8,0.00509786,0.00638485,0.00730485
2004.9,0.00499886,0.00560824,0.00492126
2005,0.0045953,0.00518688,0.00312612
2005.1,0.00456966,0.00555893,0.00429156
2005.2,0.0044554,0.00626352,0.00488158
2005.3,0.00515477,0.0065649,0.00586768
2005.4,0.00546025,0.00639683,0.00541431
2005.5,0.00616315,0.00534857,0.00517002
2005.6,0.00543032,0.00532303,0.00506716
2005.7,0.00576249,0.00483821,0.00399164
2005.8,0.00520469,0.00503041,0.00453744
2005.9,0.00550909,0.00435255,0.00522255
2006,0.00567624,0.00404106,0.00474385
2006.1,0.00524856,0.00414401,0.00496847
2006.2,0.00567788,0.00480603,0.00705652
2006.3,0.00567808,0.0049769,0.00621642
2006.4,0.00485614,0.00558221,0.00440307
2006.5,0.00430758,0.00439454,0.00437908
2006.6,0.00442993,0.00465362,0.00397397
2006.7,0.00452375,0.00390638,0.00212076
2006.8,0.00470958,0.00403618,0.00177486
2006.9,0.00365099,0.00364171,0.00175168
2007,0.00337561,0.00269894,0.00174618
2007.1,0.00372615,0.00175796,0.00105302
2007.2,0.00306668,0.00110923,0.00130534
2007.3,0.00356492,0.00133164,0.00331961
2007.4,0.00370077,0.000558529,0.00320515
2007.5,0.00385348,0.000836033,0.00375048
2007.6,0.00385433,0.000483724,0.00322876
2007.7,0.00342523,6.72487e-05,0.00438545
2007.8,0.00354437,0.000433394,0.00333735
2007.9,0.00291805,0.00113027,0.00170274
2008,0.00262322,0.00197668,0.00198795
2008.1,0.0023092,0.00132667,0.00134023
2008.2,0.00228932,0.00181446,0.00304323
2008.3,0.00201518,0.00128435,0.00291205
2008.4,0.00212204,0.00148437,0.00353507
2008.5,0.00245172,0.00131926,0.00334109
