year,P,S,E
1990,0.893112,0.793614,0.848818
1990.1,0.886544,0.787202,0.847976
1990.2,0.880552,0.781217,0.847437
1990.3,0.874594,0.775208,0.84686
1990.4,0.868824,0.769062,0.846427
1990.5,0.863051,0.762885,0.845338
1990.6,0.85752,0.757146,0.844369
1990.7,0.852123,0.751872,0.843403
1990.8,0.847,0.746413,0.84268
1990.9,0.842372,0.741304,0.841959
1991,0.837554,0.736104,0.841462
1991.1,0.832904,0.731287,0.840934
1991.2,0.828215,0.726378,0.840253
1991.3,0.82362,0.721458,0.83955
1991.4,0.819359,0.716879,0.838496
1991.5,0.815369,0.712308,0.837517
1991.6,0.811104,0.708029,0.836325
1991.7,0.806892,0.703735,0.835776
1991.8,0.803177,0.699257,0.834391
1991.9,0.79969,0.695081,0.833692
1992,0.795917,0.691193,0.832714
1992.1,0.792536,0.687445,0.832134
1992.2,0.789175,0.683719,0.83072
1992.3,0.786305,0.679566,0.829318
1992.4,0.783309,0.676384,0.828526
1992.5,0.780621,0.672578,0.827779
1992.6,0.777796,0.669012,0.826485
1992.7,0.774971,0.665685,0.825539
1992.8,0.772413,0.661961,0.824753
1992.9,0.769815,0.658595,0.823946
1993,0.767322,0.655783,0.823186
1993.1,0.764544,0.652796,0.822365
1993.2,0.762062,0.649712,0.821538
1993.3,0.759663,0.646841,0.820762
1993.4,0.757639,0.644319,0.820193
1993.5,0.755528,0.642023,0.819337
1993.6,0.753245,0.639509,0.818623
1993.7,0.751103,0.636892,0.817431
1993.8,0.749491,0.634339,0.817264
1993.9,0.747589,0.631984,0.81681
1994,0.745614,0.629332,0.816499
1994.1,0.74392,0.627577,0.815195
1994.2,0.742344,0.625065,0.814438
1994.3,0.740957,0.622741,0.81294
1994.4,0.739383,0.620522,0.811989
1994.5,0.738001,0.618937,0.811341
1994.6,0.736334,0.617201,0.810509
1994.7,0.734629,0.615453,0.809952
1994.8,0.733181,0.613765,0.809358
1994.9,0.731422,0.612442,0.808543
1995,0.730015,0.611171,0.807853
1995.1,0.728695,0.60948,0.806683
1995.2,0.727389,0.607802,0.806179
1995.3,0.726328,0.606059,0.804567
1995.4,0.725113,0.604229,0.804025
1995.5,0.724022,0.602591,0.803008
1995.6,0.722877,0.600857,0.802222
1995.7,0.721665,0.599424,0.801742
1995.8,0.720588,0.597675,0.800756
1995.9,0.719628,0.59629,0.800047
1996,0.718791,0.595153,0.799031
1996.1,0.718017,0.593892,0.798152
1996.2,0.717116,0.592887,0.797132
1996.3,0.716654,0.591757,0.796546
1996.4,0.715898,0.590749,0.795998
1996.5,0.714456,0.589799,0.794806
1996.6,0.713541,0.588524,0.793575
1996.7,0.712894,0.587394,0.792203
1996.8,0.712232,0.586472,0.791104
1996.9,0.711222,0.585409,0.790648
1997,0.710401,0.584234,0.78904
1997.1,0.709706,0.5833,0.788296
1997.2,0.709179,0.582301,0.787833
1997.3,0.708767,0.581217,0.787076
1997.4,0.707975,0.580631,0.786319
1997.5,0.707254,0.579582,0.785411
1997.6,0.706287,0.579073,0.784474
1997.7,0.705597,0.578117,0.7839
1997.8,0.704898,0.577533,0.783158
1997.9,0.704092,0.576762,0.782325
1998,0.703535,0.576192,0.781517
1998.1,0.702923,0.575691,0.780571
1998.2,0.702574,0.575061,0.779854
1998.3,0.702246,0.574106,0.77916
1998.4,0.701726,0.573443,0.778902
1998.5,0.701063,0.572893,0.778487
1998.6,0.70061,0.572525,0.77773
1998.7,0.700522,0.571854,0.777035
1998.8,0.700196,0.57128,0.775737
1998.9,0.700298,0.570637,0.775177
1999,0.700179,0.570137,0.774327
1999.1,0.699607,0.569626,0.774123
1999.2,0.69914,0.569175,0.773276
1999.3,0.698679,0.568938,0.772338
1999.4,0.698344,0.568137,0.771512
1999.5,0.698,0.567435,0.770811
1999.6,0.697488,0.566882,0.770693
1999.7,0.697317,0.566534,0.770369
1999.8,0.696717,0.566013,0.769694
1999.9,0.696359,0.565755,0.769213
2000,0.695568,0.565052,0.768759
2000.1,0.695417,0.564804,0.768476
2000.2,0.695167,0.564289,0.768186
2000.3,0.694784,0.564142,0.76778
2000.4,0.694507,0.563631,0.767507
2000.5,0.694151,0.562902,0.767246
2000.6,0.694327,0.562248,0.766957
2000.7,0.69373,0.561811,0.766319
2000.8,0.693314,0.561323,0.76571
2000.9,0.692817,0.561197,0.765122
2001,0.692855,0.560815,0.764186
2001.1,0.692598,0.560692,0.764147
2001.2,0.692592,0.560421,0.764374
2001.3,0.69241,0.560094,0.763663
2001.4,0.692175,0.560149,0.763107
2001.5,0.691992,0.559848,0.762661
2001.6,0.691695,0.559643,0.762082
2001.7,0.691518,0.559163,0.761477
2001.8,0.691291,0.558841,0.760991
2001.9,0.691171,0.55841,0.7607
2002,0.69069,0.558698,0.760616
2002.1,0.690354,0.558496,0.76059
2002.2,0.69022,0.558142,0.760093
2002.3,0.690276,0.558033,0.759703
2002.4,0.690594,0.557984,0.759163
2002.5,0.690332,0.557848,0.758936
2002.6,0.689906,0.55774,0.758737
2002.7,0.689867,0.55756,0.75785
2002.8,0.689474,0.557072,0.757562
2002.9,0.689457,0.556727,0.75719
2003,0.689168,0.556634,0.756761
2003.1,0.688986,0.556636,0.756532
2003.2,0.688915,0.556376,0.75576
2003.3,0.688535,0.556308,0.755066
2003.4,0.68837,0.556564,0.754895
2003.5,0.688313,0.556555,0.754211
2003.6,0.688305,0.556385,0.75412
2003.7,0.688177,0.555809,0.753947
2003.8,0.688167,0.555743,0.753327
2003.9,0.688025,0.555602,0.753069
2004,0.687901,0.555225,0.752761
2004.1,0.687537,0.555082,0.75218
2004.2,0.687064,0.554917,0.752081
2004.3,0.68667,0.554828,0.751626
2004.4,0.686875,0.554714,0.751592
2004.5,0.686511,0.555,0.751701
2004.6,0.686497,0.554973,0.750883
2004.7,0.686353,0.554833,0.750931
2004.8,0.686452,0.554779,0.750654
2004.9,0.686281,0.554677,0.750098
2005,0.6861,0.554572,0.749812
2005.1,0.685894,0.554527,0.750177
2005.2,0.68587,0.554831,0.750051
2005.3,0.68555,0.5546,0.749957
2005.4,0.685374,0.554824,0.750066
2005.5,0.685389,0.554647,0.749162
2005.6,0.68517,0.554593,0.74891
2005.7,0.685493,0.554435,0.749129
2005.8,0.685586,0.539538,0.749217
2005.9,0.685765,0.539841,0.748834
2006,0.685719,0.540351,0.747948
2006.1,0.685982,0.54076,0.74782
2006.2,0.685604,0.541151,0.747921
2006.3,0.685047,0.541121,0.747779
2006.4,0.685056,0.541525,0.74789
2006.5,0.684814,0.54175,0.747977
2006.6,0.684672,0.541948,0.747838
2006.7,0.684266,0.542188,0.747683
2006.8,0.684159,0.542516,0.747617
2006.9,0.683754,0.542796,0.747387
2007,0.683667,0.542986,0.74734
2007.1,0.683557,0.543264,0.746731
2007.2,0.683565,0.543513,0.746584
2007.3,0.683738,0.543686,0.746526
2007.4,0.683333,0.543906,0.74673
2007.5,0.683322,0.544104,0.746728
2007.6,0.683528,0.544243,0.745772
